,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Latitudine,Longitudine,Zona,Pret
3323,2,55,71,71,decomand,lux,Parter,1,1,2021 (in constructie),beton,bloc de apartamente,NaN,NaN,NaN,1,44.5328389,26.0941161,Băneasa,87.827 
3324,4,"115,8 ",NaN,"147,04 ",decomand,1,Etaj 7 / 9,1,1,NaN,beton,bloc de apartamente,S+P+9E,NaN,NaN,3,44.4334575,25.9966673,Militari,251.500 
3325,2,"63,7 ",NaN,85,decomand,lux,Parter / 3,1,1,2022,beton,bloc de apartamente,P+3E,NaN,NaN,1,44.4189028,26.1093761,Splaiul Unirii,121.680 
3326,1,"30,61 ",35.3,"42,56 ",decomand,1,Etaj 11 / 11,1,1,2020,beton,bloc de apartamente,P+11E,NaN,NaN,1,44.4051239,26.2070338,Theodor Pallady,41.000 
3327,1,NaN,40,49,decomand,1,Etaj 1 / 12,1,1,2022 (in constructie),beton,bloc de apartamente,S+D+P+12E,NaN,NaN,1,44.4296571,26.0362012,Drumul Taberei,52.900 
3328,3,"82,22 ",110.61,NaN,decomand,1,Etaj 3 / 11,1,2,2021 (in constructie),NaN,bloc de apartamente,S+P+11E,NaN,NaN,2,44.4155837,26.2001292,Titan,104.800 
3329,2,"51,8 ",56.8,"65,6 ",semidecomand,1,Etaj 8 / 8,1,1,2021 (in constructie),beton,bloc de apartamente,S+P+8E,NaN,NaN,1,44.4177575,26.1159088,Timpuri Noi,124.700 
3330,2,55,NaN,62,decomand,1,Etaj 4 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,D+P+6E,NaN,NaN,1,44.3722013,26.1291435,Apărătorii Patriei,50.600 
3331,4,90,105,124,decomand,1,Etaj 4 / 4,1,3,2018,beton,bloc de apartamente,P+4E,NaN,2,1,44.5364132,26.0924215,Băneasa,139.000 
3332,4,91,104.5,124,decomand,1,Etaj 1 / 5,1,3,2018,beton,bloc de apartamente,P+5E,NaN,2,1,44.5358574,26.0931078,Pipera,135.000 
